
2024/06/02 (19:44:17) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/02 (19:44:17) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/02 (19:44:17) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/02 (19:44:17) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/02 (19:44:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/02 (19:44:17) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/02 (19:44:17) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/02 (19:45:21) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/02 (19:45:22) | ===> btop++ v.1.3.2
2024/06/02 (19:45:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/02 (19:45:22) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/02 (19:45:22) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/02 (19:45:22) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/02 (19:45:22) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/02 (19:45:22) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/02 (19:45:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/02 (19:45:22) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/02 (19:45:25) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/02 (19:45:26) | ===> btop++ v.1.3.2
2024/06/02 (19:45:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/02 (19:45:26) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/02 (19:45:26) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/02 (19:45:26) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/02 (19:45:26) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/02 (19:45:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/02 (19:45:26) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/02 (19:45:26) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/02 (19:46:22) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/02 (19:46:25) | ===> btop++ v.1.3.2
2024/06/02 (19:46:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/02 (19:46:25) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/02 (19:46:25) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/02 (19:46:25) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/02 (19:46:25) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/02 (19:46:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/02 (19:46:25) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/02 (19:46:25) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/02 (19:47:01) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/02 (19:47:03) | ===> btop++ v.1.3.2
2024/06/02 (19:47:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/02 (19:47:03) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/02 (19:47:03) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/02 (19:47:03) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/02 (19:47:03) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/02 (19:47:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/02 (19:47:03) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/02 (19:47:03) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/02 (19:47:05) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/02 (19:47:07) | ===> btop++ v.1.3.2
2024/06/02 (19:47:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/02 (19:47:07) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/02 (19:47:07) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/06/02 (19:47:07) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/02 (19:47:07) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/02 (19:47:07) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/02 (19:47:07) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/02 (19:47:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/02 (19:47:09) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/06/02 (19:47:11) | ===> btop++ v.1.3.2
2024/06/02 (19:47:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/02 (19:47:11) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/06/02 (19:47:11) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/06/02 (19:47:11) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/06/02 (19:47:11) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/06/02 (19:47:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/06/02 (19:47:11) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/06/02 (19:47:11) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
